category,standardized_repair_type,frequency,example_items,est_hours,material_cost,sub_cost,notes
Foundation/Structural,Patch cracks in foundation wall or foundation exterior coating,8,Patch cracks in foundation wall; Repair cracked and chipping stucco/parge coating on foundation exterior; Evaluate and monitor cracks in cinder block foundation wall; seal to prevent moisture infiltration,,,,
Foundation/Structural,"Evaluate and repair structural foundation wall issues (displacement, bowing, step cracking, out-of-plumb)",5,Evaluate and repair foundation wall cracks with lateral displacement or movement; Evaluate and repair out-of-plumb foundation wall; Contact structural engineer to evaluate and repair cracks in foundation,,,,
Foundation/Structural,Address efflorescence on foundation walls or floor structure,9,Remediate water intrusion indicated by water lines and efflorescence stains; Address efflorescence and moisture penetration on foundation; Evaluate and repair efflorescence and discoloration on crawlspace foundation walls caused by moisture migration,,,,
Foundation/Structural,Repair or replace damaged/rotted subfloor or floor decking,12,Repair damaged subfloor; Evaluate and repair or replace water-damaged subfloor; Evaluate and repair or replace deteriorated floor decking under bathtub,,,,
Foundation/Structural,"Repair wood rot or moisture damage in floor joists, sill plates, or beams",11,Repair wood rot in floor structure; Evaluate and repair moisture-affected joists and beams; Repair moisture-damaged sill and floor joists,,,,
Foundation/Structural,Evaluate and repair crawlspace pier and support column issues,13,Evaluate and repair shifted girders not properly aligned with piers; Repair improper/leaning floor support columns resting on wood; Evaluate and repair improperly stacked piers in crawlspace,,,,
Foundation/Structural,"Repair unconventional or damaged floor framing (cut joists, unsupported spans, sagging)",14,"Repair unconventional supplemental floor structure support; Repair cut floor joists near plumbing drains; Full floor structure evaluation and repair (unsupported joists, leaning piers, unconventional supports, missing insulation)",,,,
Foundation/Structural,"Termite inspection, treatment, and repair of termite damage",6,Evaluate and treat home for termites as needed; Treat home for termites and repair termite-damaged subfloor; Evaluate and repair termite-damaged floor and rim joists,,,,
Foundation/Structural,Repair or evaluate attic/roof framing and structural components,6,Repair or replace damaged roof/ceiling structure support in attic; Repair improper rafter connections or gaps at rafters and ridge beams; Evaluate and repair unconventional roof framing at make-shift valley where two gables meet,,,,
Foundation/Structural,"Secure or remove loose attic framing components (truss spacers, crossbracing, supports)",4,Remove or properly secure loose truss spacers in attic; Secure loose support/framing in attic; Secure loose and unsecured crossbracing pieces in crawlspace,,,,
Foundation/Structural,"Evaluate and repair sloped, settled, or uneven flooring",3,Evaluate and repair sloped flooring indicating settling or movement; Repair sloping and sagging floors associated with unconventional support below; Evaluate and repair bow in wall,,,,
Foundation/Structural,Repair grading or drainage at foundation to prevent moisture intrusion,3,Repair grading at foundation to drain water away from home; Evaluate grading and gutter system and repair to prevent moisture penetration causing efflorescence on crawlspace foundation walls; Evaluate and compact/repair soft ground at front of house,,,,
Foundation/Structural,Install dehumidifier or improve crawlspace ventilation for moisture control,3,Monitor borderline moisture levels and install dehumidifier if levels exceed 20%; Address condensation in crawlspace (consider dehumidifier and sealing foundation vents); Improve crawl space ventilation to meet current standards (1 sq ft per 150 sq ft),,,,
Roofing,Clean gutters and downspouts,34,Clean debris from gutters; Clean gutters and downspouts of leaves and debris; Clean heavy leaf and debris buildup from gutters,,,,
Roofing,Install/extend downspout extensions or splash blocks,22,Install splash blocks or downspout extensions to divert water away from foundation; Extend downspouts to drain at least 6 feet from foundation; Install missing splash blocks at downspout bases,,,,
Roofing,Repair or replace damaged/missing shingles,30,Repair or replace damaged shingles; Replace missing or damaged shingles; Repair or replace torn and damaged shingles/tabs,,,,
Roofing,Seal exposed nail heads on roof surface,25,Seal exposed nail heads on roof shingles to prevent water penetration; Seal exposed nail heads in ridge vent/flashing with roofing compound; Caulk all exposed nail heads along roof line to prevent water penetration,,,,
Roofing,Repair or replace vent pipe boots/flashing boots,20,Replace cracked rubber boots around plumbing vent pipes; Repair or replace heavily sealed flashing boots; Seal lifted flashing boot flanges to roof surface to prevent water infiltration,,,,
Roofing,Paint or treat PVC/metal plumbing vent pipes,11,Paint PVC plumbing vent pipes to protect from UV deterioration; Sand and apply rust-inhibiting paint to rusted galvanized/cast plumbing stack vents; Scrape and paint rusted vent caps on roof to prevent further corrosion,,,,
Roofing,Repair or replace chimney flashing,8,"Repair or replace improperly installed chimney flashing; Investigate and repair flashing around chimney to address attic water stains; Fasten, caulk, and seal lifted flashing",,,,
Roofing,Repair or seal chimney crown/mortar/masonry,10,Seal cracks at chimney crown to prevent water penetration; Tuck point cracked and missing mortar joints on chimney; Repair or replace cracked chimney crown and tuckpoint deteriorated brick mortar,,,,
Roofing,Install chimney cap or rain cap,5,Install missing rain/chimney cap at chimney flue; Install chimney cap; Add raincap to chimney to prevent water and debris from entering flue,,,,
Roofing,Level II chimney inspection,10,Level II chimney inspection by certified chimney sweep; Conduct Level II chimney inspection; Obtain Level II chimney inspection prior to close,,,,
Roofing,Install kick-out flashing at wall-to-roof junctions,9,Install kick out flashing at bottom of junctions of lower roofs and house siding; Install kick-out flashing at wall-to-roof connections; Install missing kick-out flashing at wall-to-roof connections,,,,
Roofing,"Clean moss, algae, or debris from roof surface",9,Clean moss and algae growth from roof shingles; Remove debris/leaves from roof surface; Treat Gloeocapsa Magma (black algae) staining on roof,,,,
Roofing,Trim tree branches overhanging or contacting roof,4,"Trim tree branches overhanging/contacting roof; Trim tree limbs and repair damaged shingles caused by tree limbs; Remove leaf cover, tree limbs, and organic debris from roof surface",,,,
Roofing,Evaluate and repair shingle granule loss or wear,10,Evaluate and repair or replace shingles with granular loss; Evaluate and address granule loss/wear on shingles; Evaluate and replace extensively worn asphalt shingles at end of life expectancy,,,,
Roofing,Repair or replace gutters and downspouts,13,Repair or replace damaged gutters; Seal leaking gutter seams; Reconnect disconnected downspout to drain pipe,,,,
Roofing,Install gutters and downspouts where missing,4,Install gutters and downspouts where missing; Install gutters and downspouts; Downspouts/gutters terminating on roof surface - reroute to discharge into lower guttering,,,,
Roofing,Install gutter screens/guards,4,Clean debris from gutters and install gutter screens; Clean debris from gutters and install screens to prevent clogging; Replace missing/damaged splash guard on gutters,,,,
Roofing,Repair loose or lifted flashing (non-chimney),8,Secure lifting flashing around flue pipes; Resecure loose roof flashing; Secure lifting flashing to prevent moisture penetration,,,,
Roofing,Evaluate and repair roof leaks or water intrusion,12,Evaluate and repair indications of past or present roof leak; Locate and repair source of leak causing water stains on roof and wall structures in attic; Evaluate water staining on roof decking and repair any active leaks,,,,
Roofing,Repair or replace damaged roof decking/sheathing,5,Evaluate and repair dishing/sagging roof structure; Moisture/water damage present on roof sheathing/decking with prior repairs - evaluate and repair as needed; Repair damaged narrow sections of roof sheathing at ridge where ridge vent nails have nothing to secure into,,,,
Roofing,Install or repair drip edge or valley flashing,4,Install missing drip edge flashing at roof edge; Remove debris from valley to prevent potential leak around flashing; Properly enclose and flash make-shift valley where two gables meet to prevent water and pest intrusion,,,,
Roofing,Install chimney cricket,3,Install missing cricket at chimney due to width; Install missing cricket at chimney due to width for proper water flow and to prevent pooling; Install cricket behind chimney at next roof replacement,,,,
Roofing,Seal satellite dish or other roof penetration fasteners,2,Seal lag bolts of satellite dish to prevent water penetration into roof decking; Seal or correct exposed fasteners on roof surface,,,,
Roofing,Repair nail pops or protruding fasteners on roof,5,Repair nail pops on roof surface; Repair protruding roofing shingles; Repair lifted ridge cap shingles due to nail pops,,,,
Other,Chimney inspection (Level II) prior to close,13,Perform Level II chimney inspection prior to close; Schedule Level II chimney inspection; Level II chimney inspection by certified chimney sweep prior to close,,,,
Other,Clean creosote/soot buildup from fireplace flue,14,Clean creosote buildup from fireplace flue; Clean glazed soot and creosote buildup from flue by a qualified CSIA Chimney Sweep and re-inspect; Clean soot buildup from fireplace and flue,,,,
Other,Repair/reline chimney flue liner,12,Evaluate and repair gaps between flue liner and smoke chamber bricks; Repair or replace damaged and cracked clay flue tiles before fireplace is used; Repoint deteriorated mortar joints in clay flue liner to prevent hot gas escape and chimney fire risk,,,,
Other,"Repair chimney crown, wash, or exterior masonry",8,Seal cracks in exterior chimney; Seal cracked mortar wash on chimney crown to prevent water intrusion; Seal cracks in chimney wash and crown to prevent moisture penetration,,,,
Other,"Repair/replace chimney cap, spark arrestor, or rain cap",5,Adjust spark arrestor to proper height over flue; Evaluate and repair or replace rusted chimney cap; Install screen and rain cap over top of fireplace chimney,,,,
Other,"Repair firebox masonry, mortar, or refractory panels",13,Repair cracks along fireplace hearth; Repair or replace cracked refractory panel in fireplace; Repair cracked and damaged firebox mortar and brick,,,,
Other,Repair/replace fireplace damper,10,Replace missing fireplace damper handle; Install missing fireplace damper to prevent heat and air loss; Repair or replace inoperable flue damper on fireplace,,,,
Other,Repair/service gas fireplace logs or pilot light,18,Evaluate and repair gas fireplace logs that would not light; Repair gas logs that are not burning properly and sputtering; Relight pilot light and confirm proper operation of gas fireplace logs,,,,
Other,Install/relocate gas fireplace shutoff valve or damper clamp,6,Install C-clamp to keep fireplace damper open when gas logs are in use; Relocate gas shutoff valve from inside firebox to outside firebox for emergency access; Install accessible gas shutoff valve at fireplace for emergency use,,,,
Other,Clean dryer vent duct / replace with rigid metal duct,11,Clean dryer vent duct to remove heavy lint buildup and prevent fire hazard; Replace flexible dryer exhaust duct with rigid full metal vent to exterior; Repair kinked dryer vent line to ensure proper airflow and minimize turns,,,,
Other,"Pool fence/gate safety repair (self-closing, self-latching)",8,Repair pool fence gates to be self-closing and self-latching with latch minimum 54 inches above grade; Repair or replace substandard self-closing device on pool/spa fence gate; Repair warped pool gate,,,,
Other,Install pool door alarms,6,Install door alarms on all doors leading to pool area,,,,
Other,Install pool handrail or ladder,4,Install handrail or ladder in pool for safe entry and exit,,,,
Other,"Repair pool coping, decking, or skimmers",8,Repair and secure damaged and loose pool coping around perimeter; Repair cracks in pool decking; Clean debris from pool skimmers to prevent debris from entering pump,,,,
Other,Install/replace smoke detectors or CO detectors,7,Install smoke detectors in each bedroom per current safety standards; Install missing smoke detectors on each level and in each bedroom; Install CO detectors on first floor where not present,,,,
Other,"Garage door safety sensor, auto-reverse, or opener repair",6,Adjust garage door safety eye sensors to proper height for child safety; Reposition auto reverse sensors to 6 to 8 inches off the ground on either side of garage door; Adjust garage door opener auto-reverse pressure/sensitivity to pass 2x4 block test,,,,
Other,"Pest/termite inspection and treatment (WDO, CL-100)",5,Obtain CL100 inspection and treat past wood destroying pest activity; Evaluate and address scraped termite tube; Obtain CL-100 termite inspection and evaluate indications of past WDO treatment/activity,,,,
Other,Rodent/pest intrusion evaluation and remediation,6,"Evaluate attic for rodent activity, seal pest entry points, and disinfect attic; Address mice/rodent activity and contact pest control specialist; Evaluate and treat attic insulation for vermin burrowing and trails",,,,
Other,Surface fungi/mold treatment and moisture control,3,Treat and remediate scattered surface fungi; Address surface fungi in crawlspace and improve moisture control measures; Repair inactive wood destroying fungi damage,,,,
Other,"Crawlspace cleaning, vapor barrier, or vent repair",7,"Remove personal property and debris from crawlspace; Replace or repair displaced, deteriorated, or missing vapor barrier; Clean debris and vegetation from crawlspace vent wells",,,,
Other,Repair/replace attic pull-down stairs,4,Evaluate and repair or replace old pull down attic stairs; Attic pull down stair hardware loose/damaged - repair for safety; Repair loose or missing hardware on attic pull-down stairs,,,,
Other,Repair/replace bathroom exhaust fan,3,Repair or replace non-operational bathroom vent fan; Repair or replace inoperable bathroom exhaust fan; Install exhaust vent fan,,,,
Other,"Garage door opener minor repairs (light cover, chain, wall switch)",5,Repair or replace damaged/missing cover over light on garage door opener; Tighten loose chain on garage door opener; Install wall switch for garage door opener,,,,
Other,Fireplace/chimney miscellaneous safety items,6,Remove ash and debris from fireplace; Parge fireplace brick to prevent excess creosote buildup; Apply parge coat of insulating refractory mortar to smoke chamber interior surfaces,,,,
Other,Miscellaneous safety and property items,9,Install protective bollard/barrier to prevent vehicle from striking water heater; Repair or replace non-functional doorbell; Label gas meter to indicate which unit it serves,,,,
Appliances,Install dishwasher drain high loop or air gap,16,Install high loop or air gap at dishwasher drain line; Install high loop or air gap at dishwasher drain line to prevent backflow; Install high drip loop at dishwasher drain line,,,,
Appliances,Install anti-tip device on range/oven,22,Install anti-tip device on kitchen range for child safety; Install anti-tip bracket for range/oven; Missing anti-tip bracket for freestanding range,,,,
Appliances,"Repair/replace dishwasher door (spring, handle, seal, or binding)",13,Repair broken dishwasher door spring; Repair worn dishwasher door springs so door holds its own weight; Adjust dishwasher door to prevent rubbing on cabinet,,,,
Appliances,Secure or level dishwasher,8,Secure loose dishwasher in place; Secure loose dishwasher to countertop; Secure loose dishwasher to underside of countertop,,,,
Appliances,"Repair/service dishwasher (non-operational, draining, or cleaning)",9,Repair or replace non-functioning dishwasher; Repair dishwasher not draining properly; Clean algae buildup from dishwasher,,,,
Appliances,Repair/replace garbage disposal,16,Repair or replace inoperable garbage disposal; Evaluate and repair malfunctioning garbage disposal; Repair or replace excessively noisy garbage disposal,,,,
Appliances,"Repair/replace garbage disposal components (conduit, splash guard, wiring)",5,Secure loose conduit at base of garbage disposal; Replace missing or damaged rubber splash guard on garbage disposal; Install missing protective conduit on garbage disposal wiring,,,,
Appliances,Clean or replace range hood/microwave grease filters,8,Clean grease-clogged range hood vent filters; Clean or replace grease-laden microwave filters to eliminate fire hazard; Replace missing grease filters on microwave,,,,
Appliances,"Replace light bulb in range hood, microwave, or oven",17,Replace non-operational surface light bulb under microwave; Replace non-functioning oven light bulb; Replace burned-out light bulbs in range hood,,,,
Appliances,Repair/replace range hood vent fan or exhaust fan light,7,Repair non-functional exhaust fan light; Repair or replace non-functional exhaust fan light(s); Evaluate and repair noisy range hood exhaust fan,,,,
Appliances,Install or repair range hood exhaust venting to exterior,10,Install range hood or exhaust system above range/cooktop; Extend kitchen range fan vent from attic to exterior; Re-route range hood exhaust duct to terminate at exterior rather than into attic,,,,
Appliances,"Repair/replace or service range, oven, or cooktop",10,Repair general damage to stove/range; Repair or replace worn electric cooktop; Evaluate and repair oven top element that heats during bake mode,,,,
Appliances,Repair/replace gas burner igniter on range or cooktop,7,Repair or replace non-functioning gas burner igniter; Evaluate and repair gas range burner ignition; Repair gas cooktop burners that will not ignite,,,,
Appliances,Repair/replace oven door seal or handle,5,Repair or replace damaged/unsecured oven door seal; Replace damaged/missing oven door seal; Repair or replace loose/damaged oven door handle,,,,
Appliances,"Secure, level, or mount microwave above range",4,"Secure loose microwave above kitchen range in place; Level built-in microwave; Relevel, redrill mounting holes, and fully secure microwave to cabinet",,,,
Appliances,"Repair/replace microwave handle, filter, or components",4,Repair or replace built-in microwave with broken handle; Replace damaged/missing microwave handle; Replace damaged grease filter under microwave for proper ventilation,,,,
Appliances,Repair/replace or service refrigerator,11,Repair or replace inoperable refrigerator; Refrigerator doors not closing properly causing audible alarm; Evaluate and repair inoperable refrigerator water dispenser or install water supply line,,,,
Appliances,"Replace refrigerator components (filter, shelf, drawer, handle, seal)",7,Replace refrigerator water and air filter; Replace missing freezer shelf in refrigerator; Tighten loose refrigerator door handle,,,,
Appliances,Evaluate and test ice maker,3,Evaluate and test ice maker to ensure proper operation; Confirm ice maker operation prior to close; Evaluate and repair refrigerator water/ice dispenser that did not function,,,,
Appliances,Repair or replace dryer vent duct and routing,7,Reconnect dryer vent pipe to exterior cap; Replace flexible dryer vent duct with rigid hard pipe that exits to exterior of home; Evaluate and repair dryer vent duct that has been discharging into crawlspace,,,,
Appliances,Repair/service dryer or washing machine,6,Level wobbly/unlevel clothes dryer; Repair or replace inoperable dryer; Evaluate and repair washing machine that did not complete full cycle and has loud/loose drum,,,,
Appliances,Repair/replace damaged laundry appliance controls or components,3,Repair or replace damaged washing machine control knob; Evaluate and repair washing machine LF error code; Repair or replace damaged control covers on laundry appliances,,,,
Appliances,Clean lint buildup from dryer vent system,1,Clean lint buildup from dryer vent system,,,,
Appliances,Repair/replace garage door opener or sensors,4,Repair or replace non-functional garage door opener(s); Adjust garage door safety photo eye sensors - installed too high; Mount garage door photoelectric eye sensor properly,,,,
Appliances,"Repair/replace specialty appliances (wine cooler, jetted tub, outdoor kitchen, dog wash)",5,Repair or replace inoperable wine cooler; Repair or replace non-functional jetted tub control; Evaluate and repair non-functional gas grill at outdoor kitchen,,,,
Insulation,Repair/replace fallen or damaged crawlspace floor insulation,40,Repair and replace fallen and damaged crawlspace insulation; Re-secure fallen insulation between floor joists in crawlspace; Replace missing or damaged fiberglass batt insulation in crawlspace,,,,
Insulation,Install or upgrade attic insulation to meet R-value standards,22,Install additional attic insulation to meet current energy standards; Attic insulation below current standards - add insulation to achieve R-30 rating; Replace missing attic insulation over living area to achieve minimum R-38 value,,,,
Insulation,Insulate and weatherstrip attic pull-down stairs or access hatch,28,Insulate back side of attic pull-down stairs to prevent heat and air loss; Add insulation at pull down attic stairs and knee wall closet doors; Insulate pull down attic stair access opening with insulated cover or batt insulation,,,,
Insulation,Install or repair crawlspace vapor barrier for full ground coverage,22,Repair or replace damaged and missing vapor barrier in crawlspace; Install 6 mil black plastic moisture barrier covering approximately 100% of crawlspace soil; Repair gaps in crawlspace vapor barrier/encapsulation material for full coverage,,,,
Insulation,Reinstall crawlspace insulation with vapor barrier correctly facing subfloor,4,Reinstall crawlspace insulation correctly with vapor barrier facing the sub floor; Reinstall crawlspace/basement insulation correctly with vapor barrier facing the subfloor; Upgrade crawl space floor insulation from 3.5 inch to minimum 6.25 inch R-19,,,,
Insulation,"Address comprehensive crawlspace moisture issues (water intrusion, vapor barrier, ventilation, fungal growth)",4,"Address crawlspace moisture issues including water intrusion, fungal growth on joists and beams, fallen insulation, vapor barrier, and ventilation improvements; Correct crawlspace moisture issues including water intrusion, install proper vapor barrier, repair missing vent covers, and verify dehumidifier and pump operation; Correct crawlspace moisture issues including vapor barrier installation, vent cover repairs, water intrusion correction, and dehumidifier inspection",,,,
Insulation,Repair or redistribute disturbed/displaced attic insulation,6,Redistribute and properly spread disturbed attic insulation sections; Repair displaced blown-in insulation to recommended depth; Add insulation to areas with missing or minimal insulation in attic,,,,
Insulation,Insulate and weatherstrip attic access door or scuttle panel,10,Insulate and weatherstrip attic hatch/door; Install insulation on backside of attic access door to prevent heat and air loss; Insulate and weatherstrip scuttle hole attic access panel,,,,
Insulation,Replace or repair attic access hatch/door,2,Replace damaged attic hatch/door; Adjust/repair attic pull-down stairs so they close and seal properly,,,,
Insulation,"Install or repair crawlspace/attic ventilation (soffit vents, crawlspace vents)",8,Clear or add soffit vents to provide proper attic ventilation; Provide ventilation for unventilated crawlspace area below master bedroom; Address marginal crawlspace ventilation (consider sealing vents and installing dehumidifier),,,,
Insulation,Replace or repair missing/damaged crawlspace vent covers and screens,5,Replace or repair missing and damaged crawlspace vents and screens; Replace missing functional covers on crawl space foundation vents; Remove sealed crawlspace vent barriers or install dehumidifier to maintain proper moisture levels,,,,
Insulation,Reroute bathroom exhaust fan to vent to building exterior,4,Reroute bathroom exhaust fan vent to exterior instead of soffit; Reroute bathroom exhaust fans to vent to exterior instead of attic; Reroute bathroom exhaust fan(s) to vent to building exterior instead of into attic,,,,
Insulation,Insulate exposed water pipes to prevent freezing or condensation,6,Install insulation on water pipes; Insulate exposed attic water supply pipes to prevent freezing; Insulate supply boots under home to prevent condensation and moisture buildup on subfloor,,,,
Insulation,Repair or replace damaged ductwork insulation,3,Insulate partially uninsulated ductwork in crawlspace; Repair or replace torn/damaged ductwork insulation to prevent heating and cooling air loss; Replace or secure missing/loose duct insulation in isolated areas,,,,
Insulation,Install fire barrier between flue pipe and attic insulation,1,Install fire barrier between flue pipe and insulation in attic,,,,
Insulation,Seal gaps at penetrations between crawlspace and living areas,1,"Seal gaps at penetrations from crawlspace to home, garage, and/or basement",,,,
Insulation,Rodent/pest activity in attic insulation - remediation and evaluation,3,Have pest control evaluate evidence of vermin burrowing and trails in attic insulation; Tunneling in attic insulation associated with rodent/mice activity - needs remediation; Repair or replace damaged gable vent screen to prevent rodent entry,,,,
Insulation,Test vermiculite insulation for asbestos and remediate as needed,1,Test vermiculite insulation for asbestos and repair/remove as required,,,,
Insulation,Insulate uninsulated wall cavities or chases in attic,3,Add insulation to uninsulated wall at vaulted ceiling area in attic; Insulate uninsulated wall cavities and chases; Install missing insulation in framed attic walls,,,,
Insulation,Repair or replace exterior vent cap/cover to prevent pest and moisture intrusion,4,"Repair or replace missing or damaged auto-closing exterior vent cover; Seal exterior vent cover to prevent water and pest intrusion; Replace exterior dryer vent cap to prevent rodent, bird, and insect intrusion",,,,
Insulation,Clean dryer vent duct of lint debris,1,Clean heavy lint debris from dryer vent duct to prevent fire hazard,,,,
Insulation,Install bathroom ventilation fans where missing,1,Install bathroom ventilation fans in both areas of master bathroom,,,,
Insulation,Repair or adjust attic pull-down stair mechanism,1,Cut foldaway attic stair legs flush to floor so ladder fully extends and joints close properly,,,,
Garage,Seal/repair cracks in garage concrete slab,4,Monitor and repair minor/moderate concrete slab cracks; Seal cracks in garage slab to prevent moisture penetration; Monitor or repair minor/moderate cracks in garage concrete slab,,,,
Garage,Repair/replace garage door weather stripping,3,Replace or repair missing/damaged garage door weather stripping; Secure loose weatherstripping around garage door; Repair or replace damaged/missing insulation panels on garage door,,,,
Garage,Adjust/reposition garage door safety sensors,4,Raise photoelectric eye sensors to 6-8 inches from floor; Adjust garage door auto-reversing sensors to 4-6 inches above ground; Reposition auto reverse sensors to 6 to 8 inches off the ground on either side of garage door,,,,
Garage,Repair/replace garage door opener (unit or components),3,Repair or replace non-functional garage door opener light on both openers; Repair or replace non-functional garage door opener push button on left Genie opener; Repair or replace aged Legacy garage door opener unit,,,,
Garage,Patch holes in garage ceiling/walls for fire rating,2,Patch hole(s) in garage ceiling/walls to maintain fire rating; Patch holes in garage ceiling/walls to maintain fire rating,,,,
Garage,Seal gaps/drywall for fire separation,3,Seal drywall gap larger than 1/8 inch for fire separation; Install fire caulking where pipes and wires penetrate garage walls and ceiling; Seal cracks in garage slab,,,,
Garage,Upgrade/repair garage firewall to fire separation standards,3,Upgrade garage walls to meet proper fire separation requirements; Evaluate and bring garage firewall up to current fire-separation standards; Finish garage ceilings/walls to meet today's fire-blocking safety standards,,,,
Garage,Install safety cables on garage door springs,1,Install safety cables on garage door springs,,,,
Garage,Clean and lubricate garage door tracks,1,Clean and lubricate garage door tracks and railings,,,,
Garage,Repair garage door mounting/header system,2,Repair garage door mount system pulling away from ceiling; Repair header and/or seal gaps above garage door,,,,
Garage,Repair garage door safety sensor operation,1,Repair/adjust safety sensors on back garage door to allow door to close properly,,,,
Garage,Repair garage steps (non-compliant riser heights),1,Repair garage steps with non-compliant riser heights,,,,
Garage,Repair/replace damaged garage wall paneling,1,Repair or replace peeling and deteriorating wall paneling,,,,
Garage,Investigate water staining on garage ceiling,1,Investigate water stains on garage closet ceiling above water heater,,,,
Fireplace,"Inspect and repair firebox masonry (bricks, mortar, gaps)",3,Evaluate suitability of epoxy used to secure loose bricks inside firebox and repair if needed; Evaluate and repair gap between firebox and brick fireplace surround; Replace cracked firebrick in fireplace,,,,
Fireplace,Install or replace fireplace screen,1,Install fireplace screen,,,,
Fireplace,Clean fireplace and remove ash/debris,1,Remove ash and debris from fireplace,,,,
Fireplace,Clean/sweep chimney flue and remove creosote buildup,1,Have licensed chimney sweep clean creosote buildup from fireplace flue,,,,
Fireplace,Repair or replace gas logs/ignition system,3,Repair gas logs that do not respond to switch; Evaluate and repair non-functional gas fireplace logs; Evaluate and upgrade gas starter in fireplace to meet current safety standards with pilot light system,,,,
Site Elements,Regrade soil/yard for positive drainage away from foundation,2,Regrade soil to provide positive slope away from foundation; Address low areas with damp soil conditions conducive to ponding/pooling,,,,
Site Elements,Seal cracks in concrete flatwork (patio/walkway/driveway),1,Seal cracks in patio concrete,,,,
Garage/Carport,Repair/replace garage door weather stripping,2,Replace damaged and missing garage door weather stripping at top and sides; Adjust garage door to properly seal opening at top when closed due to slab settlement,,,,
Garage/Carport,Treat active termites in garage,1,Treat active termites observed in garage; evaluate for concealed damage,,,,
Ventilation,Repair/install attic gable vent screen,1,Install/repair screen on attic gable vents to keep out pests,,,,
Ventilation,Repair/reconnect dryer vent and extend to exterior,1,Reconnect disconnected dryer vent in crawl space and extend to exterior,,,,
Ventilation,Secure/replace dryer vent exterior rain cap,1,Secure dryer vent rain cap to exterior wall,,,,
Kitchen,Caulk countertop gaps,2,Apply caulking around countertops where gapped or missing; Refresh caulk at countertop gaps to prevent water intrusion,,,,
Bathrooms,Repair/replace damaged or swollen cabinetry,1,Repair moisture damage and swollen bottom shelf of cabinet,,,,
Bathrooms,Repair/replace swollen or water-damaged baseboards,1,Repair or replace swollen MDF baseboards near shower,,,,
Safety,Secure/repair loose smoke detector,1,Smoke detector dangling from its wiring - secure as needed,,,,
Attic & Roof Structure,Investigate and repair moisture staining on roof framing,1,Investigate moisture staining on roof framing members and repair as needed,,,,
Pest/Rodent,Evaluate and remediate rodent tunneling in insulation,1,Evaluate and remediate rodent tunneling in insulation,,,,
Cosmetic,Touch up/repaint windowsill or trim,1,Touch up windowsill trim,,,,
