source_file,category,item,location,severity
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Repair toilet not flushing properly,Bathroom(s) - Toilet,Major
2_w._hillcrest_inspection_full_report.pdf,Electrical,Install exhaust ventilation fan in bathroom with no ventilation,Bathroom(s),Minor
2_w._hillcrest_inspection_full_report.pdf,Electrical,Repair non-functional bathroom exhaust fan,Bathroom(s),Minor
2_w._hillcrest_inspection_full_report.pdf,HVAC,Replace flexible dryer vent duct with rigid metal duct,Laundry,Minor
2_w._hillcrest_inspection_full_report.pdf,HVAC,Remove screen from dryer vent exterior termination,Laundry,Minor
2_w._hillcrest_inspection_full_report.pdf,Appliances,Repair or replace non-functional garage door opener(s),Garage,Minor
2_w._hillcrest_inspection_full_report.pdf,Appliances,Adjust garage door safety photo eye sensors - installed too high,Garage,Safety
2_w._hillcrest_inspection_full_report.pdf,Appliances,Connect garage door to opener - currently not connected and not tested,Garage,Safety
2_w._hillcrest_inspection_full_report.pdf,Appliances,Mount garage door photoelectric eye sensor properly,Garage,Safety
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Secure loose garage sink,Garage,Minor
2_w._hillcrest_inspection_full_report.pdf,Appliances,Repair or restore non-functional dog wash,Garage,Minor
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Repair leak under garage sink plumbing,Garage,Major
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Reduce water heater temperature to safe level (currently exceeds 122 degrees),Water Heater,Safety
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Evaluate aged water heater for replacement,Water Heater,Major
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Repair or replace rusted water heater enclosure,Water Heater,Minor
2_w._hillcrest_inspection_full_report.pdf,Insulation,Install insulation on water pipes,Water Heater Area,Minor
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Correct TPR valve discharge - currently improperly plumbed into pump,Water Heater,Safety
2_w._hillcrest_inspection_full_report.pdf,HVAC,"Clean, service, and certify exterior HVAC split system unit due to age",Exterior HVAC Unit,Major
2_w._hillcrest_inspection_full_report.pdf,HVAC,"Clean, service, and certify interior HVAC split system unit due to age",Interior HVAC Unit,Major
2_w._hillcrest_inspection_full_report.pdf,HVAC,Seal opening in HVAC air handler cabinet,Interior HVAC Unit,Minor
2_w._hillcrest_inspection_full_report.pdf,HVAC,Repair or replace damaged/missing insulation on HVAC unit,Interior HVAC Unit,Minor
2_w._hillcrest_inspection_full_report.pdf,HVAC,Replace or repair rusted auxiliary drain pan,HVAC Unit,Minor
2_w._hillcrest_inspection_full_report.pdf,HVAC,Insulate condensate drain pipe,HVAC Unit,Minor
2_w._hillcrest_inspection_full_report.pdf,HVAC,Repair leaking condensate drain,HVAC Unit,Major
2_w._hillcrest_inspection_full_report.pdf,HVAC,Reconnect disconnected takeoff duct(s) in heating and cooling distribution system,HVAC Ductwork,Major
2_w._hillcrest_inspection_full_report.pdf,HVAC,Evaluate and repair HVAC system - unsatisfactory temperature differential in cooling mode,General,Major
2_w._hillcrest_inspection_full_report.pdf,Electrical,Identify white conductors as hot by marking them black in main service panel,Main Service Panel,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Remove green bonding screw from main service panel (sub-panel application),Main Service Panel,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Correct double-tapped main ungrounded lugs in service panel,Main Service Panel,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Install missing cover on junction box,General,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Repair or properly enclose exposed exterior wiring,Exterior,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Correct wiring defect,General,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Repair or replace non-functional interior light(s),General,Minor
2_w._hillcrest_inspection_full_report.pdf,Electrical,Repair or replace non-functional exterior light(s),Exterior,Minor
2_w._hillcrest_inspection_full_report.pdf,Electrical,Replace open ground three-prong receptacles or provide proper grounding,General,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Repair or replace non-functional receptacle(s),General,Minor
2_w._hillcrest_inspection_full_report.pdf,Electrical,Secure loose receptacle(s) at wall,General,Minor
2_w._hillcrest_inspection_full_report.pdf,Electrical,Investigate and repair flickering light,General,Minor
2_w._hillcrest_inspection_full_report.pdf,Electrical,Replace corroded/rusted junction box,General,Minor
2_w._hillcrest_inspection_full_report.pdf,Electrical,Install GFCI protection at receptacle(s) within 6 feet of sink,General,Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Install GFCI-protected receptacle(s) in bathroom - currently no receptacles present,Bathroom(s),Safety
2_w._hillcrest_inspection_full_report.pdf,Electrical,Secure loose smoke alarm at ceiling,General,Safety
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Evaluate discolored copper supply pipes for deterioration or leaks,General,Major
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Evaluate copper pipes with patina for pinhole leaks,General,Major
2_w._hillcrest_inspection_full_report.pdf,Plumbing,"Perform sewer scope inspection of drain, waste, and vent pipes",General,Major
2_w._hillcrest_inspection_full_report.pdf,Plumbing,Locate and repair source of gas odor,General,Safety
2_w._hillcrest_inspection_report (1).pdf,Electrical,White conductors not identified as hot (ungrounded) conductors - need to be marked with black tape or marker,"Pool Area, Basement Panel PB",Safety
2_w._hillcrest_inspection_report (1).pdf,Electrical,Remove green bonding screw from grounded terminal bar to properly isolate neutrals and EGCs in distribution panel,Pool Sub Panel,Major
2_w._hillcrest_inspection_report (1).pdf,Electrical,Main ungrounded lugs are double-tapped - lugs are only rated for one conductor,Pool Equipment Area,Safety
2_w._hillcrest_inspection_report (1).pdf,Electrical,Junction box missing cover - potential electrocution and fire hazard,Crawlspace,Safety
2_w._hillcrest_inspection_report (1).pdf,Electrical,Exposed wiring on exterior not protected by conduit - subject to physical damage,Garage,Major
2_w._hillcrest_inspection_report (1).pdf,Electrical,Older wiring exposed on roof and run through gutter system with connections made outside of a junction box,Roof,Safety
2_w._hillcrest_inspection_report (1).pdf,Electrical,Non-functional lights - repair or replace as needed,"Basement, Right and Left Side First Floor Bathroom, Second Floor Left Bathroom",Minor
2_w._hillcrest_inspection_report (1).pdf,Electrical,Exterior lights not functional - repair or replace as needed,Right Side Exterior,Minor
2_w._hillcrest_inspection_report (1).pdf,Electrical,"Three-prong receptacle has open ground - missing ground connection, repair or replace",Master Bathroom,Safety
2_w._hillcrest_inspection_report (1).pdf,Electrical,Non-functional receptacles - repair or replace as needed,"Front Right Bedroom, Basement Bedroom",Minor
2_w._hillcrest_inspection_report (1).pdf,Electrical,Receptacles loose at wall - need to be properly secured,"Rear Porch, Basement Bedroom",Minor
2_w._hillcrest_inspection_report (1).pdf,Electrical,Flickering light - repair as needed,Top of Stairs,Minor
2_w._hillcrest_inspection_report (1).pdf,Electrical,Corrosion and rust on junction box - replace junction box,Right Crawlspace,Major
2_w._hillcrest_inspection_report (1).pdf,Electrical,Receptacles within 6 feet of sink not GFCI protected - install GFCI protection,Basement Laundry,Safety
2_w._hillcrest_inspection_report (1).pdf,Electrical,No receptacles present in bathroom - install receptacle,Basement Bathroom,Minor
2_w._hillcrest_inspection_report (1).pdf,Other,Smoke alarm loose at ceiling - repair or re-secure,Basement,Safety
303_townsend_ave___ace_home_inspection_report_1.pdf,Roofing,Repair isolated shingle damage to reduce risk of moisture penetration,Front Middle Roof,Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Roofing,Remove nail or shingle debris from roof surface,Roof,Cosmetic
303_townsend_ave___ace_home_inspection_report_1.pdf,Exterior,Seal exterior wall penetrations,Right Exterior,Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Exterior,Caulk/seal missing or incomplete caulking on exterior surfaces,"2nd Floor Front, Left, Right Back Exterior",Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Exterior,Repair minor rot and surface damage on exterior siding/trim,"Front Middle, Below 2nd Floor Porch",Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Exterior,Repair damaged and cracked siding,"Right Middle, Right Back Exterior",Cosmetic
303_townsend_ave___ace_home_inspection_report_1.pdf,Exterior,Paint or stain unpainted exterior surfaces,"2nd Floor Balcony, General Exterior",Cosmetic
303_townsend_ave___ace_home_inspection_report_1.pdf,Exterior,Monitor minor cracking in patio concrete,Front Patio,Cosmetic
303_townsend_ave___ace_home_inspection_report_1.pdf,Interior,Repair cosmetic wear on walls and ceilings,General Interior,Cosmetic
303_townsend_ave___ace_home_inspection_report_1.pdf,Interior,Repair minor cracks in walls and ceilings,"Main Floor near kitchen, living room, and hallway",Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Interior,Secure unsecured kitchen drawer and slides,Kitchen,Cosmetic
303_townsend_ave___ace_home_inspection_report_1.pdf,Plumbing,Install or adjust pressure reducing valve to bring water pressure within 40-80 psi range,Garage - Pressure Regulator Valve,Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Plumbing,Repair slow leak in drain line,"2nd Floor Bathroom, Left Sink",Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Electrical,Install missing light cover,Garage,Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Electrical,Repair or replace non-functioning exterior light fixture,Front Exterior,Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,HVAC,Seal HVAC ductwork at air filter cover,Attic,Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Insulation,Add insulation to uninsulated wall at vaulted ceiling area in attic,"Attic, Main Floor at Living Room",Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Foundation/Structural,Evaluate roof truss framing for improper installation or unauthorized modification by a structural engineer,"Attic, Back Middle",Major
303_townsend_ave___ace_home_inspection_report_1.pdf,Foundation/Structural,Monitor minor cracks in concrete slab floor,"Right Side, General",Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Foundation/Structural,Monitor minor to moderate cracks in garage concrete slab,Garage,Minor
303_townsend_ave___ace_home_inspection_report_1.pdf,Other,Service garage door to reduce noise and ensure smooth operation,Garage,Cosmetic
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Exterior,Secure loose and replace missing siding,"Right Side, Rear Left 3rd Floor, Rear Right 3rd Floor, Rear Right Side, Front Left",Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Exterior,Repair warped siding to prevent moisture penetration and pest entry,Right Side,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Windows/Doors,Adjust deadbolt and catch plate to allow proper locking,"Rear Right Bedroom, Rear Living Room, Living Room",Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Windows/Doors,Repair wood rot on entry door casement/trim,Right Side,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Exterior,Install additional spindles to meet current deck railing spacing standards,Deck,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Exterior,Repair damaged deck screens,Deck,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Exterior,Repair or replace loose and damaged deck trim,Deck,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Exterior,Evaluate and repair fascia damaged by carpenter bees,"Front, multiple locations around home",Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Exterior,Evaluate and repair damaged and weathered asphalt driveway,Driveway,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Roofing,Evaluate and repair or replace rusting metal roof to prevent moisture intrusion,Roof,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Insulation,Insulate exposed attic water supply pipes to prevent freezing,Front Right Attic,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Plumbing,Repair active leak at drain line,Below Kitchen,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Plumbing,Insulate exposed drain/waste lines to prevent freezing,General,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Plumbing,Investigate and repair cut PVC vent pipe in attic,2nd Floor Front Right Attic,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Plumbing,Replace toilet flush mechanism to stop continuous running,Hall Bathroom,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Other,Evaluate and treat for rodent/pest intrusion below sink,Second Floor Hall Bathroom,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Repair double tapped breakers in electrical panel,Electrical Panel,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Evaluate and properly remove or terminate abandoned electrical wiring,Below Kitchen,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Properly terminate and secure exposed electrical wiring in junction box,Laundry Room,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Install weatherproof cover plates on exterior receptacles,Rear Deck,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Install approved floor-mounted boxes with covers for floor-mounted electrical outlets,General,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Repair improperly installed exterior receptacle at pool fencing and add ground fault protection,Pool Fencing,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Evaluate and relocate receptacle that may be too close to operable fireplace,Fireplace,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Replace bulbs and test exterior light fixtures to ensure proper operation,Right Side Balcony,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Replace batteries in chirping smoke detectors,General,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Install carbon monoxide detectors on each floor and near bedrooms,General,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Electrical,Repair non-operational doorbell,Front,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,HVAC,Relocate gas log shutoff valve from inside firebox to outside firebox for emergency access,Fireplace,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,HVAC,Evaluate and improve flue clearance from wood and combustible materials,Heating Unit,Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Interior,Repair ceiling water stains with proper preparation and monitor for future staining,2nd Floor,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Interior,Evaluate and repair moisture damaged flooring,"Laundry Room, Kitchen",Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Windows/Doors,Adjust or trim interior door that drags against flooring,1st Floor Front Left Bedroom Closet,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Windows/Doors,Adjust strike plate and hardware on interior doors for proper closure,2nd Floor Rear Attic,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Windows/Doors,Repair or replace broken and missing window tilt latches,3rd Floor,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Windows/Doors,Repair or replace window balances to prevent windows from falling,"3rd Floor Left Side, 3rd Floor",Safety
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Appliances,Secure loose dishwasher hose clamps to prevent leakage,Kitchen,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Appliances,Repair or replace excessively noisy garbage disposal,Kitchen,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Plumbing,Repair or replace non-functional kitchen sink sprayer,Kitchen,Minor
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Other,"Evaluate attic for rodent activity, seal pest entry points, and disinfect attic",Attic,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Other,Evaluate and treat attic insulation for vermin burrowing and trails,Attic,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Foundation/Structural,Have licensed contractor evaluate inaccessible crawlspace panels,Foundation/Crawlspace,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Foundation/Structural,Evaluate and repair soil erosion under pier/footer to ensure proper support,Rear,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Foundation/Structural,Evaluate and repair wood pile/pier that does not appear to be properly supporting structure,Front,Major
304_Cliff_Ridge_Dr___Advantage_Residential_Inspection.pdf,Insulation,"Repair and replace fallen, missing, and damaged crawlspace insulation",Crawlspace,Major
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Repair deteriorating and cracked asphalt surface,Driveway,Minor
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Repair cracks with displacement in driveway,Driveway,Minor
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Tuck pointing of mortar joints at front stoop/steps,Front Stoop/Steps,Minor
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Repair damaged concrete slab at porch/patio,Porch/Patio,Minor
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Repair or replace damaged vinyl siding sections at right corner,Exterior Right Corner,Minor
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Repair or replace damaged fascia wrap at front dormers,Front Dormers,Minor
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Repair or replace wood rot on exterior trim at front and rear deck,Front/Rear Deck,Major
308_e_faris_rd___whole_home_inspection.pdf,Exterior,Trim tree limbs within 10 feet of roof,Front,Minor
308_e_faris_rd___whole_home_inspection.pdf,Roofing,Extend plumbing stack vents to minimum 6 inches above roofline,Roof,Minor
308_e_faris_rd___whole_home_inspection.pdf,Roofing,Level II chimney inspection by certified chimney sweep,Chimney,Safety
308_e_faris_rd___whole_home_inspection.pdf,Roofing,Extend downspouts at least 5 feet away from foundation,Exterior/Foundation,Minor
308_e_faris_rd___whole_home_inspection.pdf,Foundation/Structural,Evaluate and repair step cracking on foundation wall at rear right,Rear Right Foundation Wall,Major
308_e_faris_rd___whole_home_inspection.pdf,Foundation/Structural,Monitor and address moisture infiltration in crawlspace/basement,Crawlspace/Basement,Major
308_e_faris_rd___whole_home_inspection.pdf,Foundation/Structural,Repair or replace cracked CMU block pier,Crawlspace,Major
308_e_faris_rd___whole_home_inspection.pdf,Foundation/Structural,Repair or replace damaged floor structure framing around chimney area,Crawlspace/Chimney Area,Major
308_e_faris_rd___whole_home_inspection.pdf,Interior,Repair moisture staining and water damage on ceiling,Living Room,Major
308_e_faris_rd___whole_home_inspection.pdf,Interior,Repair binding door for proper operation,2nd Floor Hallway Bathroom,Minor
308_e_faris_rd___whole_home_inspection.pdf,Windows/Doors,Replace missing window screens,Various/General,Minor
308_e_faris_rd___whole_home_inspection.pdf,Windows/Doors,Repair inoperable/stuck windows in bedrooms for emergency egress,2nd Floor Bedrooms,Safety
308_e_faris_rd___whole_home_inspection.pdf,Windows/Doors,Evaluate and repair aged windows as needed,General,Minor
308_e_faris_rd___whole_home_inspection.pdf,Interior,Level II chimney inspection by certified chimney sweep,Fireplace/Den,Safety
308_e_faris_rd___whole_home_inspection.pdf,Interior,Repair masonry damage and cracks in firebox,Den Fireplace,Safety
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Repair or replace drain stopper that does not seal at master bathroom left sink,Master Bathroom,Minor
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Replace metal sink traps with PVC traps,1st Floor Hallway Bathroom/2nd Floor Full Bathroom,Minor
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Caulk/seal tub spout to shower wall to prevent water infiltration,1st Floor Hallway Bathroom,Minor
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Re-secure and reseal loose toilet at floor with new wax ring,1st Floor/2nd Floor Full Bathroom,Major
308_e_faris_rd___whole_home_inspection.pdf,Garage,Repair or replace non-functional garage door opener light on both openers,Garage,Minor
308_e_faris_rd___whole_home_inspection.pdf,Garage,Repair or replace non-functional garage door opener push button on left Genie opener,Garage,Minor
308_e_faris_rd___whole_home_inspection.pdf,Garage,Repair or replace aged Legacy garage door opener unit,Garage,Minor
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Adjust water heater temperature to recommended range of 118-122 degrees F,Basement/Water Heater,Safety
308_e_faris_rd___whole_home_inspection.pdf,Insulation,Install insulation on exposed water pipes,General,Minor
308_e_faris_rd___whole_home_inspection.pdf,HVAC,Level and re-secure exterior HVAC unit,Exterior,Minor
308_e_faris_rd___whole_home_inspection.pdf,HVAC,"Clean, service, and certify exterior HVAC split system unit due to age",Exterior,Major
308_e_faris_rd___whole_home_inspection.pdf,HVAC,Raise exterior HVAC unit to minimum 3 inches above ground,Exterior,Minor
308_e_faris_rd___whole_home_inspection.pdf,HVAC,"Clean, service, and certify interior HVAC split system unit due to age",Interior,Major
308_e_faris_rd___whole_home_inspection.pdf,HVAC,Install float switch or drain pipe on auxiliary drain pan,Interior HVAC,Minor
308_e_faris_rd___whole_home_inspection.pdf,HVAC,Install proper trap on condensate drain pipe,Interior HVAC,Minor
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Replace missing cover screws on main service panel,Main Service Panel,Safety
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Evaluate multiple brand breakers in main service panel,Main Service Panel,Major
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Evaluate and address aged braided cloth NM wiring,General,Safety
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Replace missing interior light globe,Interior,Minor
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Replace damaged electrical cover plate(s),General,Minor
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Repair or replace GFCI outlet that did not trip,General,Safety
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Install smoke alarms in each bedroom,Bedrooms,Safety
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Replace non-functional smoke alarm(s),General,Safety
308_e_faris_rd___whole_home_inspection.pdf,Electrical,Install CO detectors at recommended locations,General,Safety
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Conduct sewer scope inspection of drain/waste/vent system,General,Major
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Evaluate aged cast iron drain pipes for repair or replacement,General,Major
308_e_faris_rd___whole_home_inspection.pdf,Plumbing,Install missing sediment trap on gas fuel supply line,General,Minor
308_ellsworth_ct_inspection_summary.pdf,Exterior,Repair moderate settlement cracks on patio surface,Exterior Front and Rear,Major
308_ellsworth_ct_inspection_summary.pdf,Exterior,"Repair or replace damaged vinyl siding with holes, cracks, or defects",Exterior Rear and Left Side,Major
308_ellsworth_ct_inspection_summary.pdf,Exterior,Repair or replace damaged vinyl corner trim,Exterior Rear,Minor
308_ellsworth_ct_inspection_summary.pdf,Exterior,Install missing accessory box (J-block) cover at wall penetration,Exterior Rear,Minor
308_ellsworth_ct_inspection_summary.pdf,Windows/Doors,"Seal, repair, or replace damaged exterior door trim",Exterior Rear,Minor
308_ellsworth_ct_inspection_summary.pdf,Roofing,Seal exposed nail heads on roof pipe boots to prevent leaks,Roof,Minor
308_ellsworth_ct_inspection_summary.pdf,Exterior,Reroute downspouts discharging onto roof surface into lower guttering,Exterior,Major
308_ellsworth_ct_inspection_summary.pdf,Exterior,Repair gutters to achieve proper pitch and clear debris to eliminate standing water,Exterior Front,Minor
308_ellsworth_ct_inspection_summary.pdf,Appliances,Repair or replace inoperable garbage disposal,Kitchen,Minor
308_ellsworth_ct_inspection_summary.pdf,Appliances,Install anti-tip bracket for range/oven,Kitchen,Safety
308_ellsworth_ct_inspection_summary.pdf,Interior,Repair or replace damaged carpet,Entranceway and Living Room,Minor
308_ellsworth_ct_inspection_summary.pdf,Interior,Repair or secure loose handrail/stair railing,Stairway,Safety
308_ellsworth_ct_inspection_summary.pdf,Windows/Doors,Repair or replace difficult-to-operate window(s),Living Room,Safety
308_ellsworth_ct_inspection_summary.pdf,Electrical,Repair or replace non-functional ceiling fan light(s),Master Bedroom,Minor
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Clear slow draining sink,Master Bathroom,Minor
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Repair inoperable sink stopper,Half Bath and Master Bathroom,Minor
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Repair leak present under sink,Half Bath,Major
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Seal tub spout/faucet valve to shower wall to prevent water infiltration,Upper Level Hall Bathroom,Minor
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Secure loose faucet valve handle in bathtub,Master Bath,Minor
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Repair leak at showerhead connection to water pipe,Master Shower,Minor
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Repair possible drip leak at laundry water valve(s) showing rust,Laundry Room,Minor
308_ellsworth_ct_inspection_summary.pdf,Plumbing,Repair or replace non-functional water heater that is not producing hot water,General,Major
308_ellsworth_ct_inspection_summary.pdf,HVAC,"Clean, service, and certify exterior AC unit due to age",Exterior,Major
308_ellsworth_ct_inspection_summary.pdf,HVAC,"Clean, service, and certify interior HVAC unit due to age",Interior,Major
308_ellsworth_ct_inspection_summary.pdf,HVAC,Install trap in condensate drain pipe,General,Minor
308_ellsworth_ct_inspection_summary.pdf,Electrical,Install missing cover plate(s) on receptacles,Dining Room,Safety
308_ellsworth_ct_inspection_summary.pdf,Other,Install CO detectors on first floor where not present,First Floor,Safety
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Secure loose siding,"Multiple Locations (Right Front, Right Middle, Right Rear, Left Front)",Major
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Repair siding to provide 2-inch clearance from shingles per manufacturer requirements,Front,Major
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Evaluate and repair settling cracks in brick siding to prevent water intrusion,Front Left,Major
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Seal or repair cracks in fiber cement siding to prevent moisture penetration,Rear Left,Major
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Evaluate and repair fiber cement siding including incorrect flashing at butt joints and loose sections to meet manufacturer requirements,General,Major
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Seal or patch cracks along exterior patio to prevent water penetration,Patio,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Repair or replace torn/damaged patio screen,Patio,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Seal openings at patio screen frame to prevent pest entry,Patio,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Repair patio drainage blocked by screen frame and grading,Patio,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Replace missing patio screen door,Patio,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Foundation/Structural,Evaluate and repair grading at foundation to divert water away from home,"Multiple Locations (Right Rear, Left Rear)",Major
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Foundation/Structural,Evaluate and repair yard grading and landscaping to prevent standing water near foundation,Left Side,Major
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Secure loose section of fence,Rear Right,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Repair fence gate to allow proper clearance from ground when opening/closing,Left Rear,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Exterior,Trim fence boards to have adequate clearance from ground and replace any damaged wood to prevent rot and blocked drainage,Multiple Locations,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Interior,Paint water-stained garage ceiling and investigate leak history with owner,Garage,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Foundation/Structural,Patch garage slab cracks for monitoring,Garage,Minor
309_lindstrom_ct___advantage_residential_inspection_2.pdf,Roofing,Seal exposed nail heads on roof shingles to prevent water penetration,Patio Roof,Major
